CPU,Path,opp_freq_dec,opp_freq_hex,u_volt_min_dec,u_volt_min_hex,u_volt_max_dec,u_volt_max_hex,u_volt_target_dec,u_volt_target_hex,u_amp_dec,u_amp_hex,u_watt_dec,u_watt_hex
cpu1,/sys/kernel/debug/opp/cpu1/opp:758000000/supply-0,758000000,0x2d2e2980,600000,0x927c0,600000,0x927c0,600000,0x927c0,24000,0x5dc0,71000,0x11558
cpu1,/sys/kernel/debug/opp/cpu1/opp:668000000/supply-0,668000000,0x27d0df00,600000,0x927c0,600000,0x927c0,600000,0x927c0,20000,0x4e20,61000,0xee48
cpu1,/sys/kernel/debug/opp/cpu1/opp:550000000/supply-0,550000000,0x20c85580,550000,0x86470,550000,0x86470,550000,0x86470,17000,0x4268,49000,0xbf68
cpu1,/sys/kernel/debug/opp/cpu1/opp:490000000/supply-0,490000000,0x1d34ce80,550000,0x86470,550000,0x86470,550000,0x86470,16000,0x3e80,43000,0xa7f8
cpu1,/sys/kernel/debug/opp/cpu1/opp:418000000/supply-0,418000000,0x18ea2c80,550000,0x86470,550000,0x86470,550000,0x86470,13000,0x32c8,36000,0x8ca0
cpu0,/sys/kernel/debug/opp/cpu0/opp:1530000000/supply-0,1530000000,0x5b31f280,850000,0xcf850,850000,0xcf850,850000,0xcf850,73000,0x11d28,212000,0x33c20
cpu0,/sys/kernel/debug/opp/cpu0/opp:1430000000/supply-0,1430000000,0x553c1180,800000,0xc3500,800000,0xc3500,800000,0xc3500,61000,0xee48,185000,0x2d2a8
cpu0,/sys/kernel/debug/opp/cpu0/opp:1287000000/supply-0,1287000000,0x4cb60fc0,800000,0xc3500,800000,0xc3500,800000,0xc3500,49000,0xbf68,152000,0x251c0
cpu0,/sys/kernel/debug/opp/cpu0/opp:1148000000/supply-0,1148000000,0x446d1700,700000,0xaae60,700000,0xaae60,700000,0xaae60,43000,0xa7f8,130000,0x1fbd0
cpu0,/sys/kernel/debug/opp/cpu0/opp:1018000000/supply-0,1018000000,0x3cad7280,700000,0xaae60,700000,0xaae60,700000,0xaae60,36000,0x8ca0,108000,0x1a5e0
cpu0,/sys/kernel/debug/opp/cpu0/opp:864000000/supply-0,864000000,0x337f9800,700000,0xaae60,700000,0xaae60,700000,0xaae60,28000,0x6d60,84000,0x14820
cpu0,/sys/kernel/debug/opp/cpu0/opp:758000000/supply-0,758000000,0x2d2e2980,600000,0x927c0,600000,0x927c0,600000,0x927c0,24000,0x5dc0,71000,0x11558
cpu0,/sys/kernel/debug/opp/cpu0/opp:668000000/supply-0,668000000,0x27d0df00,600000,0x927c0,600000,0x927c0,600000,0x927c0,20000,0x4e20,61000,0xee48
cpu0,/sys/kernel/debug/opp/cpu0/opp:550000000/supply-0,550000000,0x20c85580,550000,0x86470,550000,0x86470,550000,0x86470,17000,0x4268,49000,0xbf68
cpu0,/sys/kernel/debug/opp/cpu0/opp:490000000/supply-0,490000000,0x1d34ce80,550000,0x86470,550000,0x86470,550000,0x86470,16000,0x3e80,43000,0xa7f8
cpu0,/sys/kernel/debug/opp/cpu0/opp:418000000/supply-0,418000000,0x18ea2c80,550000,0x86470,550000,0x86470,550000,0x86470,13000,0x32c8,36000,0x8ca0
